No,data,rating
124,bakso/batagor/siomay,5
124,gorengan lain,5
124,cendol,5
124,bubble tea,5
124,jus buah,5
125,nasi goreng,5
125,bakso/batagor/siomay,5
125,ayam bakar/goreng/fried chicken,5
125,kue-kue,5
125,roti bakar/kukus,5
125,tahu,5
125,gorengan lain,5
125,cendol,5
125,es campur,5
125,es doger,5
126,nasi goreng,5
126,bakso/batagor/siomay,5
126,bubur,5
126,buah potong/rujak,5
126,roti bakar/kukus,5
126,tahu,5
126,sate,5
126,gorengan lain,5
126,soto/sop/makanan berkuah lainnya,5
126,es campur,5
126,es doger,5
126,teh,5
126,minuman air,5
127,nasi goreng,5
127,bakso/batagor/siomay,5
127,bubur,5
127,roti bakar/kukus,5
127,sate,5
127,cendol,5
127,bubble tea,5
127,soda/soft drink,5
127,susu,5
127,jus buah,5
128,mie-miean,5
128,bakso/batagor/siomay,5
128,bubur,5
128,sate,5
128,soto/sop/makanan berkuah lainnya,5
128,kopi,5
128,bubble tea,5
129,bakso/batagor/siomay,5
129,ayam bakar/goreng/fried chicken,5
129,sate,5
129,gorengan lain,5
129,kopi,5
129,jus buah,5
130,nasi goreng,5
130,mie kuah,5
130,bakso/batagor/siomay,5
130,cendol,5
130,es campur,5
130,es doger,5
131,bakso/batagor/siomay,5
131,buah potong/rujak,5
131,gorengan lain,5
131,jus buah,5
132,ayam bakar/goreng/fried chicken,5
132,buah potong/rujak,5
132,sate,5
132,gorengan lain,5
132,soto/sop/makanan berkuah lainnya,5
132,teh,5
133,nasi goreng,5
133,bakso/batagor/siomay,5
133,buah potong/rujak,5
133,jagung,5
133,minuman air,5
134,nasi goreng,5
134,bakso/batagor/siomay,5
134,gorengan lain,5
134,soto/sop/makanan berkuah lainnya,5
134,teh,5
135,nasi goreng,5
135,bakso/batagor/siomay,5
135,bubur,5
135,ayam bakar/goreng/fried chicken,5
135,kue-kue,5
135,soto/sop/makanan berkuah lainnya,5
135,bubble tea,5
135,jus buah,5
136,nasi goreng,5
136,mie kuah,5
136,nasi-nasian,5
136,mie-miean,5
136,bakso/batagor/siomay,5
136,bubur,5
136,kue-kue,5
136,buah potong/rujak,5
136,tahu,5
136,sate,5
136,gorengan lain,5
136,soto/sop/makanan berkuah lainnya,5
136,es doger,5
137,nasi goreng,5
137,mie-miean,5
137,bakso/batagor/siomay,5
137,bubur,5
137,jagung,5
137,sate,5
137,gorengan lain,5
137,cendol,5
