userid,foodanddrinkname,rating
55,roti,1
55,jagung,1
55,kacang,1
55,tahu,1
55,sate,5
55,gorengan kering,5
55,es krim,5
55,ubi,1
55,luar negeri,1
55,gorengan basah,1
55,berkuah,1
55,cendol,5
55,es campur,5
55,bubble tea,5
55,susu,5
55,jus buah,5
55,soft drink,1
55,es doger,1
55,teh,5
55,kopi,5
55,air mineral,1
55,air kelapa,1
56,nasi goreng,5
56,mie kuah,5
56,nasi,5
56,mie,5
56,bakso,5
56,bubur,5
56,ayam,5
56,kue,1
56,buah,1
56,roti,5
56,jagung,1
56,kacang,1
56,tahu,1
56,sate,5
56,gorengan kering,1
56,es krim,1
56,ubi,1
56,luar negeri,1
56,gorengan basah,1
56,berkuah,1
56,cendol,1
56,es campur,5
56,bubble tea,1
56,susu,5
56,jus buah,5
56,soft drink,1
56,es doger,1
56,teh,5
56,kopi,1
56,air mineral,1
56,air kelapa,1
57,nasi goreng,5
57,mie kuah,5
57,nasi,5
57,mie,5
57,bakso,5
57,bubur,5
57,ayam,5
57,kue,1
57,buah,5
57,roti,1
57,jagung,1
57,kacang,1
57,tahu,1
57,sate,5
57,gorengan kering,1
57,es krim,5
57,ubi,1
57,luar negeri,5
57,gorengan basah,1
57,berkuah,1
57,cendol,1
57,es campur,1
57,bubble tea,1
57,susu,5
57,jus buah,5
57,soft drink,1
57,es doger,1
57,teh,1
57,kopi,1
57,air mineral,1
57,air kelapa,1
58,nasi goreng,5
58,mie kuah,1
58,nasi,1
58,mie,1
58,bakso,1
58,bubur,1
58,ayam,5
58,kue,1
58,buah,1
58,roti,1
58,jagung,1
58,kacang,1
58,tahu,1
58,sate,5
58,gorengan kering,5
58,es krim,1
58,ubi,1
58,luar negeri,1
58,gorengan basah,1
58,berkuah,1
58,cendol,1
58,es campur,1
58,bubble tea,1
58,susu,5
58,jus buah,5
58,soft drink,1
58,es doger,5
58,teh,1
58,kopi,1
58,air mineral,1
58,air kelapa,1
61,nasi goreng,1
61,mie kuah,1
61,nasi,5
61,mie,5
61,bakso,5
61,bubur,1
61,ayam,1
61,kue,1
61,buah,1
61,roti,1
61,jagung,1
61,kacang,1
61,tahu,1
61,sate,1
61,gorengan kering,5
61,es krim,1
61,ubi,1
61,luar negeri,1
61,gorengan basah,1
61,berkuah,1
61,cendol,5
61,es campur,1
61,bubble tea,1
61,susu,1
61,jus buah,1
61,soft drink,1
61,es doger,5
61,teh,1
61,kopi,1
61,air mineral,1
61,air kelapa,1
62,nasi goreng,5
62,mie kuah,5
62,nasi,1
62,mie,5
62,bakso,5
62,bubur,1
62,ayam,1
62,kue,1
62,buah,1
62,roti,1
62,jagung,1
62,kacang,1
62,tahu,5
62,sate,5
62,gorengan kering,1
62,es krim,1
62,ubi,1
62,luar negeri,1
62,gorengan basah,1
62,berkuah,1
62,cendol,5
62,es campur,5
62,bubble tea,5
62,susu,5
62,jus buah,5
62,soft drink,1
62,es doger,5
62,teh,5
62,kopi,5
62,air mineral,1
62,air kelapa,1
64,nasi goreng,5
64,mie kuah,5
64,nasi,1
64,mie,1
64,bakso,1
64,bubur,1
64,ayam,1
64,kue,1
64,buah,1
64,roti,1
